Artist_Name,Birth_Year,Turnover,Sold Lots,Highest Price
Angela Jansen,1929,,,
Angela Ricci Lucchi,1942,,,
Angelo Ippolito,1922,,,
Angelo Testa,1921,,,
Angus Fairhurst,1966,,,
Angus Maclise,1938,,,
Anibal Gil,1932,,,
Anish Kapoor,1954,11200128,53,1515000
An-My LÃª,1960,,,
Ann Craven,1967,,,
Ann Hamilton,1956,,,
Ann Ledy,1952,,,
Ann Magnuson,1956,,,
Ann McCoy,1946,,,
Ann Parker,1934,,,
Anna Bella Geiger,1933,,,
Anna Blume,1937,,,
Anna Boghiguian,1946,,,
Anna Gaskell,1969,,,
Anna Jermolaewa,1970,,,
Anna Maria Maiolino,1942,,,
Anna Ostoya,1978,,,
Anna Sobol,1946,,,
Anne Chu,1959,,,
Anne Collier,1970,,,
Anne Fontaine,1959,,,
Anne Lacaton,1955,,,
Anne Marie Fishbein,1958,,,
Anne Noggle,1922,,,
Anne Poirier,1942,,,
Anne Ramsden,1952,,,
Anne Truitt,1921,,,
Anne Turyn,1954,,,
Anne Waldman,1945,,,
Annee Olofsson,1966,,,
Anne-Marie MiÃ©ville,1945,,,
Annett Zinsmeister,1967,,,
Annette Kelm,1975,,,
Annette Lemieux,1957,,,
Annette Messager,1943,,,
Annette Peacock,1941,,,
Annette Rosado,1972,,,
Annie Leibovitz,1949,,,
Anri Sala,1974,,,
Ansei Uchima,1921,,,
Anselm Kiefer,1945,15211978,43,2595457
AntÃ´nio Maluf,1926,,,
AntÃ³n Garcia-Abril,1969,,,
Antenna Design,1997,,,
Anthon Beeke,1940,,,
Anthony Barboza,1944,,,
Anthony Caro,1924,,,
Anthony Currell,1942,,,
Anthony Donaldson,1939,,,
Anthony Dunne,1964,,,
Anthony Goicolea,1971,,,
Anthony Hernandez,1947,,,
Anthony Ingolia,1921,,,
Anthony Maglica,1930,,,
Anthony McCall,1946,,,
Anthony Nobile,1938,,,
Anthony Nomorosa,1988,,,
Anton Furst,1944,,,
Anton Heyboer,1924,,,
Anton Kannemeyer,1967,,,
Anton Schubert,1968,,,
Anton van Dalen,1938,,,
Antoni Kowalski,1957,,,
Antoni Miralda,1942,,,
Antoni TÃ pies,1923,,,
Antonia Campi,1921,,,
Antonieta Sosa,1940,,,
Antonio Bandeira,1922,,,
Antonio Campos,1983,,,
Antonio Citterio,1950,,,
Antonio Dias,1944,,,
Antonio DiSpigna,1943,,,
Antonio Fernandez Reboiro,1935,,,
Antonio LÃ³pez GarcÃ­a,1936,,,
