Artist_Name,Turnover,Sold Lots,Highest Price,Top_500_Rank
Yinka SHONIBARE,"$1,104,938 ",11,"$328,678 ",160
LIU Dawei,"$1,100,741 ",18,"$348,036 ",161
Kohei NAWA,"$1,097,555 ",26,"$288,135 ",162
Kelley WALKER,"$1,092,724 ",6,"$795,386 ",163
GENG Jianyi,"$1,067,689 ",4,"$732,395 ",164
David WOJNAROWICZ,"$1,065,375 ",4,"$708,500 ",165
Shepard FAIREY,"$1,064,648 ",675,"$93,994 ",166
Marc QUINN,"$1,063,783 ",32,"$131,008 ",167
Louise LAWLER,"$1,046,645 ",34,"$106,250 ",168
Tetsuya ISHIDA,"$1,037,213 ",4,"$561,159 ",169
Andr BUTZER,"$1,035,427 ",17,"$163,619 ",170
Kehinde WILEY,"$1,024,064 ",16,"$300,000 ",171
Henry TAYLOR,"$1,019,583 ",11,"$362,654 ",172
I Nyoman MASRIADI,"$1,005,212 ",4,"$350,438 ",173
Iwamoto MASAKAZU,"$1,004,751 ",12,"$483,404 ",174
Roberto FABELO,"$1,003,250 ",11,"$275,000 ",175
ZHANG Enli,"$1,000,063 ",5,"$522,468 ",176
Rainer FETTING,"$990,596 ",36,"$76,501 ",177
Gino DE DOMINICIS,"$983,728 ",18,"$321,440 ",178
YANG Ermin,"$956,440 ",4,"$347,590 ",179
John CURRIN,"$955,695 ",11,"$495,000 ",180
Rob PRUITT,"$955,246 ",9,"$187,500 ",181
Kathryn DEL BARTON,"$948,818 ",11,"$284,105 ",182
WANG Haili,"$946,292 ",7,"$217,899 ",183
Subodh GUPTA,"$943,161 ",10,"$216,072 ",184
Dylan LEWIS,"$937,891 ",24,"$198,504 ",185
Shara HUGHES,"$918,633 ",15,"$85,000 ",186
Sandro CHIA,"$918,007 ",88,"$176,835 ",187
Jose John SANTOS III,"$897,110 ",7,"$300,036 ",188
LI Huayi,"$892,032 ",3,"$443,537 ",189
Michel MAJERUS,"$884,843 ",15,"$237,500 ",190
Su Fan OH,"$883,966 ",18,"$126,715 ",191
LENG Jun,"$877,887 ",5,"$453,044 ",192
Martin GRELLE,"$877,740 ",17,"$187,200 ",193
Chéri SAMBA,"$870,532 ",29,"$70,545 ",194
